w_cont,w_ref,threshold,n,tp,fp,fn,tn,precision,recall,f1
0.8,0.19999999999999996,0.35000000000000003,14328,1605,15,7070,5638,0.9907407407407407,0.18501440922190202,0.3118018455560952
0.8,0.19999999999999996,0.4,14328,1625,16,7050,5637,0.9902498476538696,0.1873198847262248,0.3150445909267158
0.8,0.19999999999999996,0.45,14328,1643,16,7032,5637,0.9903556359252562,0.18939481268011527,0.3179794851945036
0.8,0.19999999999999996,0.5,14328,1676,20,6999,5633,0.9882075471698113,0.19319884726224784,0.3232089480281554
0.8,0.19999999999999996,0.55,14328,1717,28,6958,5625,0.9839541547277937,0.1979250720461095,0.3295585412667947
0.8,0.19999999999999996,0.6000000000000001,14328,1795,43,6880,5610,0.9766050054406964,0.2069164265129683,0.34148197469799296
0.8,0.19999999999999996,0.65,14328,1938,70,6737,5583,0.9651394422310757,0.22340057636887609,0.3628194327436114
0.8,0.19999999999999996,0.7000000000000001,14328,2233,163,6442,5490,0.9319699499165276,0.2574063400576369,0.4033962605004065
0.8,0.19999999999999996,0.75,14328,2956,548,5719,5105,0.843607305936073,0.3407492795389049,0.4854257328187864
0.8,0.19999999999999996,0.8,14328,6348,3804,2327,1849,0.6252955082742316,0.7317579250720461,0.6743506665958464
0.8,0.19999999999999996,0.8500000000000001,14328,6985,4466,1690,1187,0.6099903938520653,0.8051873198847262,0.6941269999006261
0.8,0.19999999999999996,0.9,14328,7246,4957,1429,696,0.5937884126854053,0.8352737752161383,0.6941277900182009
0.8,0.19999999999999996,0.9500000000000001,14328,7578,5506,1097,147,0.5791806786915317,0.8735446685878963,0.6965393630221977
0.9,0.09999999999999998,0.1,14328,1565,12,7110,5641,0.9923906150919467,0.18040345821325648,0.3053062817011315
0.9,0.09999999999999998,0.15000000000000002,14328,1573,12,7102,5641,0.9924290220820189,0.18132564841498558,0.3066276803118908
0.9,0.09999999999999998,0.2,14328,1576,12,7099,5641,0.9924433249370277,0.181671469740634,0.3071226736821592
0.9,0.09999999999999998,0.25,14328,1581,13,7094,5640,0.9918444165621079,0.1822478386167147,0.3079170318434122
0.9,0.09999999999999998,0.30000000000000004,14328,1592,14,7083,5639,0.9912826899128269,0.18351585014409222,0.30969750024316695
0.9,0.09999999999999998,0.35000000000000003,14328,1597,15,7078,5638,0.9906947890818859,0.18409221902017292,0.3104889666569457
0.9,0.09999999999999998,0.4,14328,1607,15,7068,5638,0.9907521578298397,0.1852449567723343,0.312129746528115
0.9,0.09999999999999998,0.45,14328,1625,16,7050,5637,0.9902498476538696,0.1873198847262248,0.3150445909267158
0.9,0.09999999999999998,0.5,14328,1642,16,7033,5637,0.9903498190591074,0.18927953890489913,0.31781670376463755
0.9,0.09999999999999998,0.55,14328,1671,19,7004,5634,0.9887573964497042,0.19262247838616714,0.32243125904486253
0.9,0.09999999999999998,0.6000000000000001,14328,1706,24,6969,5629,0.9861271676300578,0.196657060518732,0.32791926958193174
0.9,0.09999999999999998,0.65,14328,1761,33,6914,5620,0.9816053511705686,0.2029971181556196,0.3364218167924348
0.9,0.09999999999999998,0.7000000000000001,14328,1865,53,6810,5600,0.9723670490093848,0.21498559077809798,0.3521193240819409
0.9,0.09999999999999998,0.75,14328,2042,100,6633,5553,0.9533146591970122,0.23538904899135446,0.3775538504206342
0.9,0.09999999999999998,0.8,14328,2399,221,6276,5432,0.915648854961832,0.27654178674351587,0.4247897299690129
0.9,0.09999999999999998,0.8500000000000001,14328,3196,693,5479,4960,0.8218050912831062,0.3684149855907781,0.5087551735116206
0.9,0.09999999999999998,0.9,14328,6704,4010,1971,1643,0.6257233526227366,0.7727953890489914,0.6915261230594667
0.9,0.09999999999999998,0.9500000000000001,14328,7421,5033,1254,620,0.5958728119479685,0.8554466858789626,0.7024468739646931
1.0,0.0,0.1,14328,1565,12,7110,5641,0.9923906150919467,0.18040345821325648,0.3053062817011315
1.0,0.0,0.15000000000000002,14328,1570,12,7105,5641,0.9924146649810367,0.1809798270893372,0.30613239738715026
1.0,0.0,0.2,14328,1575,12,7100,5641,0.9924385633270322,0.18155619596541786,0.30695770804911326
1.0,0.0,0.25,14328,1577,13,7098,5640,0.9918238993710692,0.18178674351585014,0.30725767169995133
1.0,0.0,0.30000000000000004,14328,1584,14,7091,5639,0.9912390488110138,0.18259365994236312,0.30838119341964376
1.0,0.0,0.35000000000000003,14328,1593,15,7082,5638,0.9906716417910447,0.18363112391930836,0.30983176115919475
1.0,0.0,0.4,14328,1602,15,7073,5638,0.9907235621521335,0.1846685878962536,0.3113097551496308
1.0,0.0,0.45,14328,1608,15,7067,5638,0.9907578558225508,0.18536023054755044,0.312293649252282
1.0,0.0,0.5,14328,1626,16,7049,5637,0.9902557856272838,0.18743515850144093,0.3152079092759523
1.0,0.0,0.55,14328,1640,16,7035,5637,0.9903381642512077,0.18904899135446687,0.31749104636530834
1.0,0.0,0.6000000000000001,14328,1668,18,7007,5635,0.9893238434163701,0.19227665706051872,0.32197664318116015
1.0,0.0,0.65,14328,1701,21,6974,5632,0.9878048780487805,0.1960806916426513,0.32720977204962964
