frame_idx,sam2_label,gt_bird_id,iou,is_error,iou_threshold
91,3,38,0.5262,0,0.5
91,1,75,0.2064,1,0.5
92,4,14,0.6362,0,0.5
92,2,113,0.6333,0,0.5
92,3,38,0.4836,1,0.5
92,1,75,0.2507,1,0.5
93,4,14,0.6273,0,0.5
93,2,113,0.5546,0,0.5
93,3,38,0.4415,1,0.5
93,1,75,0.2602,1,0.5
94,4,14,0.6173,0,0.5
94,2,113,0.4942,1,0.5
94,3,38,0.3783,1,0.5
94,1,75,0.2595,1,0.5
95,4,14,0.6099,0,0.5
95,2,113,0.4388,1,0.5
95,3,38,0.3134,1,0.5
95,1,75,0.2996,1,0.5
96,4,14,0.62,0,0.5
96,2,113,0.4135,1,0.5
96,1,75,0.3484,1,0.5
96,3,38,0.2525,1,0.5
97,4,14,0.5887,0,0.5
97,2,113,0.3944,1,0.5
97,1,75,0.3887,1,0.5
97,3,38,0.2755,1,0.5
98,4,14,0.5388,0,0.5
98,1,75,0.3819,1,0.5
98,2,113,0.375,1,0.5
98,3,38,0.3029,1,0.5
99,4,14,0.491,1,0.5
99,1,75,0.3618,1,0.5
99,2,113,0.3578,1,0.5
99,3,38,0.2987,1,0.5
100,4,14,0.4311,1,0.5
100,2,113,0.339,1,0.5
100,1,75,0.3245,1,0.5
100,3,38,0.3043,1,0.5
101,4,14,0.3805,1,0.5
101,2,113,0.3428,1,0.5
101,1,75,0.2983,1,0.5
101,3,38,0.2877,1,0.5
102,2,113,0.3591,1,0.5
102,4,14,0.3442,1,0.5
102,3,38,0.2916,1,0.5
102,1,75,0.2716,1,0.5
103,2,113,0.3832,1,0.5
103,4,14,0.2977,1,0.5
103,3,38,0.274,1,0.5
103,1,75,0.2426,1,0.5
104,2,113,0.4162,1,0.5
104,4,14,0.279,1,0.5
104,3,38,0.2784,1,0.5
104,1,75,0.2097,1,0.5
105,2,113,0.49,1,0.5
105,4,14,0.2439,1,0.5
105,1,75,0.2093,1,0.5
105,3,38,0.2072,1,0.5
106,2,113,0.5598,0,0.5
106,4,14,0.2053,1,0.5
106,1,75,0.1745,1,0.5
106,3,38,0.1524,1,0.5
107,2,113,0.6251,0,0.5
107,1,75,0.1626,1,0.5
107,4,14,0.1563,1,0.5
107,3,38,0.1024,1,0.5
108,2,113,0.662,0,0.5
108,1,75,0.1556,1,0.5
108,4,14,0.1238,1,0.5
108,3,38,0.0593,1,0.5
109,2,113,0.7024,0,0.5
109,1,75,0.1425,1,0.5
109,4,14,0.1091,1,0.5
109,3,38,0.0353,1,0.5
110,2,113,0.7132,0,0.5
110,1,75,0.1195,1,0.5
110,4,14,0.1117,1,0.5
110,3,38,0.0223,1,0.5
111,2,113,0.7468,0,0.5
111,1,75,0.1159,1,0.5
111,4,14,0.1115,1,0.5
111,3,38,0.0099,1,0.5
112,2,113,0.776,0,0.5
112,4,14,0.1072,1,0.5
112,1,75,0.0692,1,0.5
112,3,38,0.0088,1,0.5
113,2,113,0.7651,0,0.5
113,4,14,0.0957,1,0.5
113,1,75,0.0589,1,0.5
113,3,38,0.0159,1,0.5
114,2,113,0.7682,0,0.5
114,4,14,0.0913,1,0.5
114,1,75,0.03,1,0.5
114,3,38,0.0193,1,0.5
115,2,113,0.7726,0,0.5
115,4,14,0.0946,1,0.5
115,1,75,0.0135,1,0.5
115,3,38,0.0106,1,0.5
116,2,113,0.7516,0,0.5
116,4,14,0.099,1,0.5
116,3,38,0.0076,1,0.5
116,1,75,0.0074,1,0.5
117,2,113,0.7414,0,0.5
117,4,14,0.1043,1,0.5
117,1,38,0.0,1,0.5
117,3,75,0.0,1,0.5
118,2,113,0.7344,0,0.5
118,4,14,0.1207,1,0.5
118,1,38,0.0,1,0.5
118,3,75,0.0,1,0.5
119,2,113,0.6901,0,0.5
119,4,14,0.1212,1,0.5
119,3,38,0.0001,1,0.5
119,1,75,0.0,1,0.5
120,2,113,0.6833,0,0.5
120,4,14,0.1382,1,0.5
120,1,38,0.0,1,0.5
120,3,75,0.0,1,0.5
121,2,113,0.7304,0,0.5
121,4,14,0.1516,1,0.5
121,1,38,0.0,1,0.5
121,3,75,0.0,1,0.5
122,2,113,0.7365,0,0.5
122,4,14,0.1958,1,0.5
122,1,38,0.0,1,0.5
122,3,75,0.0,1,0.5
123,2,113,0.7224,0,0.5
123,4,14,0.2231,1,0.5
123,1,38,0.0,1,0.5
123,3,75,0.0,1,0.5
124,2,113,0.7295,0,0.5
124,4,14,0.2555,1,0.5
124,1,38,0.0,1,0.5
124,3,75,0.0,1,0.5
125,2,113,0.6799,0,0.5
125,4,14,0.3056,1,0.5
125,1,38,0.0,1,0.5
125,3,75,0.0,1,0.5
126,2,113,0.723,0,0.5
126,4,14,0.3411,1,0.5
126,1,38,0.0,1,0.5
126,3,75,0.0,1,0.5
127,2,113,0.6535,0,0.5
127,4,14,0.3578,1,0.5
127,1,38,0.0,1,0.5
127,3,75,0.0,1,0.5
128,2,113,0.6123,0,0.5
128,4,14,0.3664,1,0.5
128,1,38,0.0,1,0.5
128,3,75,0.0,1,0.5
129,2,113,0.7177,0,0.5
129,4,14,0.3746,1,0.5
129,1,38,0.0,1,0.5
129,3,75,0.0,1,0.5
130,2,113,0.6383,0,0.5
130,4,14,0.3879,1,0.5
130,1,38,0.0,1,0.5
130,3,75,0.0,1,0.5
131,2,113,0.665,0,0.5
131,4,14,0.4181,1,0.5
131,1,38,0.0,1,0.5
131,3,75,0.0,1,0.5
132,2,113,0.7631,0,0.5
132,4,14,0.4169,1,0.5
132,1,38,0.0,1,0.5
132,3,75,0.0,1,0.5
133,2,113,0.8201,0,0.5
133,4,14,0.4581,1,0.5
133,1,75,0.0002,1,0.5
133,3,38,0.0,1,0.5
134,2,113,0.7961,0,0.5
134,4,14,0.4722,1,0.5
134,1,75,0.0035,1,0.5
134,3,38,0.0,1,0.5
135,2,113,0.5738,0,0.5
135,4,14,0.4826,1,0.5
135,1,75,0.0097,1,0.5
135,3,38,0.0,1,0.5
136,2,113,0.7754,0,0.5
136,4,14,0.4735,1,0.5
136,1,75,0.0135,1,0.5
136,3,38,0.0,1,0.5
137,2,113,0.7777,0,0.5
137,4,14,0.4775,1,0.5
137,1,75,0.0137,1,0.5
137,3,38,0.0,1,0.5
138,2,113,0.7687,0,0.5
138,4,14,0.4135,1,0.5
138,1,75,0.0119,1,0.5
138,3,38,0.0,1,0.5
139,2,113,0.6988,0,0.5
139,4,14,0.3969,1,0.5
139,1,75,0.0169,1,0.5
139,3,38,0.0,1,0.5
140,2,113,0.6519,0,0.5
140,4,14,0.3931,1,0.5
140,1,75,0.0111,1,0.5
140,3,38,0.0,1,0.5
141,2,113,0.6804,0,0.5
141,4,14,0.3952,1,0.5
141,1,75,0.0309,1,0.5
141,3,38,0.0,1,0.5
142,2,113,0.7037,0,0.5
142,4,14,0.4118,1,0.5
142,1,75,0.0481,1,0.5
142,3,38,0.0,1,0.5
143,2,113,0.6844,0,0.5
143,4,14,0.4352,1,0.5
143,1,75,0.086,1,0.5
143,3,38,0.0,1,0.5
144,2,113,0.6618,0,0.5
144,4,14,0.4708,1,0.5
144,1,75,0.1833,1,0.5
144,3,38,0.0389,1,0.5
145,2,113,0.6553,0,0.5
145,4,14,0.511,0,0.5
145,1,75,0.2248,1,0.5
145,3,38,0.1103,1,0.5
146,2,113,0.6619,0,0.5
146,4,14,0.5565,0,0.5
146,3,38,0.2827,1,0.5
146,1,75,0.2672,1,0.5
147,2,113,0.6511,0,0.5
147,4,14,0.5598,0,0.5
147,1,75,0.4655,1,0.5
147,3,38,0.3923,1,0.5
148,1,75,0.6516,0,0.5
148,2,113,0.6457,0,0.5
148,4,14,0.5837,0,0.5
148,3,38,0.4481,1,0.5
149,1,75,0.6773,0,0.5
149,4,14,0.653,0,0.5
149,2,113,0.631,0,0.5
149,3,38,0.4059,1,0.5
150,4,14,0.6816,0,0.5
150,2,113,0.646,0,0.5
150,1,75,0.4541,1,0.5
150,3,38,0.2937,1,0.5
151,4,14,0.6215,0,0.5
151,2,113,0.6069,0,0.5
151,1,75,0.3399,1,0.5
151,3,38,0.2124,1,0.5
152,4,14,0.661,0,0.5
152,2,113,0.6327,0,0.5
152,1,75,0.306,1,0.5
152,3,38,0.147,1,0.5
153,2,113,0.6487,0,0.5
153,4,14,0.5588,0,0.5
153,1,75,0.2578,1,0.5
153,3,38,0.075,1,0.5
154,2,113,0.6697,0,0.5
154,4,14,0.6383,0,0.5
154,1,75,0.2407,1,0.5
154,3,38,0.0256,1,0.5
155,2,113,0.6829,0,0.5
155,4,14,0.5507,0,0.5
155,1,75,0.1727,1,0.5
155,3,38,0.0095,1,0.5
156,2,113,0.7091,0,0.5
156,4,14,0.6446,0,0.5
156,1,75,0.2122,1,0.5
156,3,38,0.0,1,0.5
157,2,113,0.7265,0,0.5
157,4,14,0.663,0,0.5
157,1,75,0.2369,1,0.5
157,3,38,0.0,1,0.5
158,2,113,0.7101,0,0.5
158,4,14,0.4731,1,0.5
158,1,75,0.108,1,0.5
158,3,38,0.0,1,0.5
159,2,113,0.7061,0,0.5
159,4,14,0.5871,0,0.5
159,1,75,0.1856,1,0.5
