abs_frame,local_frame,block_id,label,logit_score,continuity_score,ref_iou_score,combined_score,flagged,area_px,area_ratio,centroid_jump,reason
62,62,0,brownish,0.1,0.9928,0.4583,0.4753,0,3607,0.986,0.4,ok
62,62,0,orange,0.1,0.9752,0.3363,0.4334,0,25601,0.973,3.7,ok
62,62,0,spotted,0.1,0.9876,0.0,0.3363,1,4305,1.017,1.9,ok
63,63,0,darkest,0.1,0.9723,0.3386,0.4333,0,6811,1.055,2.3,ok
63,63,0,brownish,0.1,0.9722,0.4923,0.4793,0,3417,0.947,4.0,ok
63,63,0,orange,0.1,0.9785,0.3247,0.431,0,24546,0.959,1.6,ok
63,63,0,spotted,0.1,0.9784,0.0,0.3335,1,4491,1.043,2.4,ok
64,64,0,darkest,0.1,0.9618,0.2549,0.405,0,6328,0.929,4.6,ok
64,64,0,brownish,0.1,0.9725,0.4974,0.481,0,3239,0.948,1.3,ok
64,64,0,orange,0.1,0.9789,0.3198,0.4296,0,23553,0.96,2.6,ok
64,64,0,spotted,0.1,0.9815,0.0,0.3344,1,4513,1.005,2.8,ok
65,65,0,darkest,0.1,0.983,0.2412,0.4073,0,6273,0.991,2.6,ok
65,65,0,brownish,0.1,0.9942,0.5182,0.4937,0,3208,0.99,0.9,ok
65,65,0,orange,0.1,0.9393,0.3206,0.418,0,22126,0.939,9.1,ok
65,65,0,spotted,0.1,0.9809,0.0,0.3343,1,4347,0.963,2.5,ok
66,66,0,darkest,0.1,0.9761,0.218,0.3982,0,6356,1.013,3.6,ok
66,66,0,brownish,0.1,0.9961,0.5389,0.5005,0,3233,1.008,0.4,ok
66,66,0,orange,0.1,0.9601,0.2961,0.4169,0,22839,1.032,6.0,ok
66,66,0,spotted,0.1,0.9785,0.0,0.3336,1,4168,0.959,2.5,ok
67,67,0,darkest,0.1,0.956,0.1617,0.3753,0,6802,1.07,6.6,ok
67,67,0,brownish,0.1,0.9965,0.5643,0.5082,0,3218,0.995,0.5,ok
67,67,0,orange,0.1,0.9559,0.2804,0.4109,0,22796,0.998,6.6,ok
67,67,0,spotted,0.1,0.9867,0.0,0.336,1,4212,1.011,2.0,ok
68,68,0,darkest,0.1,0.9729,0.1374,0.3731,0,6728,0.989,4.1,ok
68,68,0,brownish,0.1,0.9869,0.606,0.5179,0,3136,0.975,0.8,ok
68,68,0,orange,0.1,0.9638,0.287,0.4152,0,22221,0.975,5.4,ok
68,68,0,spotted,0.1,0.9852,0.0,0.3355,1,4337,1.03,1.7,ok
69,69,0,darkest,0.1,0.974,0.1163,0.3671,0,6852,1.018,3.9,ok
69,69,0,brownish,0.1,0.9834,0.644,0.5282,0,3035,0.968,1.1,ok
69,69,0,orange,0.1,0.9605,0.2896,0.415,0,21627,0.973,5.9,ok
69,69,0,spotted,0.1,0.9893,0.0,0.3368,1,4392,1.013,1.6,ok
70,70,0,darkest,0.1,0.9694,0.1148,0.3653,0,7271,1.061,2.8,ok
70,70,0,brownish,0.1,0.9899,0.671,0.5383,0,3003,0.989,1.5,ok
70,70,0,orange,0.1,0.9526,0.2813,0.4102,0,21026,0.972,7.1,ok
70,70,0,spotted,0.1,0.9855,0.0,0.3357,1,4519,1.029,1.8,ok
71,71,0,darkest,0.1,0.9639,0.0971,0.3583,0,6975,0.959,5.4,ref_iou_drift
71,71,0,brownish,0.1,0.9891,0.6631,0.5357,0,2959,0.985,1.6,ok
71,71,0,orange,0.1,0.9158,0.2522,0.3904,0,20204,0.961,12.6,ok
71,71,0,spotted,0.1,0.9865,0.0,0.336,1,4641,1.027,1.4,ok
72,72,0,darkest,0.1,0.9837,0.0895,0.362,0,6854,0.983,2.4,ref_iou_drift
72,72,0,brownish,0.1,0.9943,0.6418,0.5308,0,2992,1.011,0.9,ok
72,72,0,orange,0.1,0.8783,0.2006,0.3637,0,18413,0.911,18.3,ok
72,72,0,spotted,0.1,0.9887,0.0,0.3366,1,4591,0.989,1.7,ok
73,73,0,darkest,0.1,0.9886,0.084,0.3618,0,6725,0.981,1.7,ref_iou_drift
73,73,0,brownish,0.1,0.987,0.6236,0.5232,0,2916,0.975,1.3,ok
73,73,0,orange,0.1,0.8425,0.1377,0.3341,1,18406,1.0,23.6,ok
73,73,0,spotted,0.1,0.9828,0.0,0.3348,1,4494,0.979,2.6,ok
74,74,0,darkest,0.1,0.9848,0.0825,0.3602,0,6553,0.974,2.3,ref_iou_drift
74,74,0,brownish,0.1,0.9939,0.6042,0.5194,0,2901,0.995,0.9,ok
