block_id,gt_id,start,end,n,gt_present,errors,error_rate,present_errors,present_error_rate,mean_segmentation_error
1,113,1075,1099,23,23,0,0.0,0,0.0,0.14716581246541338
1,14,1100,1124,23,23,0,0.0,0,0.0,0.20306648648965295
1,38,1100,1124,23,23,0,0.0,0,0.0,0.11161681002709525
1,75,1100,1124,24,22,2,0.08333333333333333,0,0.0,0.1556346226565223
1,113,1100,1124,22,22,0,0.0,0,0.0,0.19349159297493557
1,14,1125,1149,23,23,0,0.0,0,0.0,0.0916809606712468
1,38,1125,1149,25,25,0,0.0,0,0.0,0.09372520040151422
1,75,1125,1149,25,25,0,0.0,0,0.0,0.12843686353236813
1,113,1125,1149,23,23,0,0.0,0,0.0,0.18331270361524074
1,14,1150,1174,23,23,0,0.0,0,0.0,0.07382311879089823
1,38,1150,1174,23,23,0,0.0,0,0.0,0.13870697771177262
1,75,1150,1174,25,25,0,0.0,0,0.0,0.11006831575969218
1,113,1150,1174,23,23,0,0.0,0,0.0,0.1772425782923851
1,14,1175,1199,24,24,0,0.0,0,0.0,0.09779316326256116
1,38,1175,1199,25,25,0,0.0,0,0.0,0.20834687043715625
1,75,1175,1199,25,25,0,0.0,0,0.0,0.09648759411266809
1,113,1175,1199,25,25,0,0.0,0,0.0,0.14230634042840243
1,14,1200,1224,24,24,0,0.0,0,0.0,0.1775533131050039
1,38,1200,1224,24,24,0,0.0,0,0.0,0.16487545297802886
1,75,1200,1224,23,23,0,0.0,0,0.0,0.09991578097237759
1,113,1200,1224,24,24,0,0.0,0,0.0,0.07121321605041218
1,14,1225,1249,25,25,0,0.0,0,0.0,0.14005267721255815
1,38,1225,1249,25,25,0,0.0,0,0.0,0.14517798141608237
1,75,1225,1249,22,22,0,0.0,0,0.0,0.20983271310445037
1,113,1225,1249,25,25,0,0.0,0,0.0,0.085386009216709
1,14,1250,1274,24,24,0,0.0,0,0.0,0.16448741293709343
1,38,1250,1274,25,25,0,0.0,0,0.0,0.11110987805011426
1,75,1250,1274,23,23,0,0.0,0,0.0,0.165743122934093
1,113,1250,1274,11,11,0,0.0,0,0.0,0.10291733987560785
1,14,1275,1299,24,24,0,0.0,0,0.0,0.10920110633648399
1,38,1275,1299,24,24,0,0.0,0,0.0,0.10595877082630523
1,75,1275,1299,25,25,0,0.0,0,0.0,0.11447593631987035
1,113,1275,1299,24,24,0,0.0,0,0.0,0.17706551692549874
1,14,1300,1324,20,20,0,0.0,0,0.0,0.24610451638669284
1,38,1300,1324,25,25,0,0.0,0,0.0,0.12406266294943274
1,75,1300,1324,25,25,0,0.0,0,0.0,0.10653448827512121
1,113,1300,1324,23,23,0,0.0,0,0.0,0.15744793682935043
1,14,1325,1349,19,19,0,0.0,0,0.0,0.220899592162714
1,38,1325,1349,24,24,0,0.0,0,0.0,0.14935175165502446
1,75,1325,1349,25,25,0,0.0,0,0.0,0.0959646954646056
1,113,1325,1349,13,13,0,0.0,0,0.0,0.0778823572995733
1,14,1350,1374,25,25,0,0.0,0,0.0,0.195496567957682
1,38,1350,1374,25,25,0,0.0,0,0.0,0.0809124439403191
1,75,1350,1374,24,24,0,0.0,0,0.0,0.08226867240878466
1,113,1350,1374,18,18,0,0.0,0,0.0,0.07196110079746593
1,14,1375,1399,25,25,0,0.0,0,0.0,0.19503211852986468
1,38,1375,1399,24,24,0,0.0,0,0.0,0.13539874110002992
1,75,1375,1399,23,23,0,0.0,0,0.0,0.12009060933650743
1,113,1375,1399,25,25,0,0.0,0,0.0,0.0894559637215623
1,14,1400,1424,25,25,0,0.0,0,0.0,0.1993907224932363
1,38,1400,1424,25,25,0,0.0,0,0.0,0.13521315904006576
1,75,1400,1424,19,19,0,0.0,0,0.0,0.1866621390561952
1,113,1400,1424,24,24,0,0.0,0,0.0,0.10438759901271764
1,14,1425,1449,25,25,0,0.0,0,0.0,0.26129592691509157
1,38,1425,1449,25,25,0,0.0,0,0.0,0.18623603223371796
1,75,1425,1449,17,17,0,0.0,0,0.0,0.17012944158653762
1,113,1425,1449,22,22,0,0.0,0,0.0,0.1506214195636838
1,14,1450,1474,25,25,0,0.0,0,0.0,0.1989139346301782
1,38,1450,1474,25,25,0,0.0,0,0.0,0.12191700047269656
1,75,1450,1474,25,25,0,0.0,0,0.0,0.1277892953652932
1,113,1450,1474,25,25,0,0.0,0,0.0,0.1371812245136123
1,14,1475,1499,25,25,0,0.0,0,0.0,0.220309922659251
1,38,1475,1499,24,24,0,0.0,0,0.0,0.07150971982673626
1,75,1475,1499,18,18,0,0.0,0,0.0,0.1494037348090765
1,113,1475,1499,25,25,0,0.0,0,0.0,0.11272225304060228
2,14,1500,1524,21,21,0,0.0,0,0.0,0.26023992285017766
2,38,1500,1524,19,19,0,0.0,0,0.0,0.04603049821207311
2,75,1500,1524,25,25,0,0.0,0,0.0,0.1385532586186962
2,113,1500,1524,25,25,0,0.0,0,0.0,0.19001896650412545
2,14,1525,1549,24,24,0,0.0,0,0.0,0.2718026537190766
2,38,1525,1549,24,24,0,0.0,0,0.0,0.039348522713058796
2,75,1525,1549,25,25,0,0.0,0,0.0,0.21440302965361152
2,113,1525,1549,25,25,0,0.0,0,0.0,0.19283939977386036
2,14,1550,1574,11,11,0,0.0,0,0.0,0.30595054995015636
2,38,1550,1574,19,19,0,0.0,0,0.0,0.04077366211937921
2,75,1550,1574,22,22,0,0.0,0,0.0,0.19671972355346193
2,113,1550,1574,23,23,0,0.0,0,0.0,0.13721772881172764
2,14,1575,1599,25,25,0,0.0,0,0.0,0.25707355014418587
2,38,1575,1599,25,25,0,0.0,0,0.0,0.05040001060949371
