video_frame,gt_id,gt_frame,pred_area,gt_area,image,source_rgb_sha256,prediction_sha256,gt_sha256
2944,38,2932,0,0,video002944_GT38.jpg,e7d47feec1c183e38265409c1a5c15c48a4a37d6379b0ecf1d9f17a06cde8e16,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,297d229ee30973091c5d269c524a1d34692641ad1beb8df55b5556d156abe531
2961,38,2949,0,0,video002961_GT38.jpg,d9b1229f48e16811d75646e136b8ffbd9cd5e60eb721c20b7294366bf16fe396,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,77577860e5381b788ef7a07faff6ab453b163f6b132e5327acde117128141bd0
2979,38,2967,0,0,video002979_GT38.jpg,ee37fcbd00fb7c8d5b5578e56eab1e0710c45526e72ee635cbe629fc0890affd,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,ba8d39773bb9eb45e975aaf3a79354f9a44b6ce57ed7e48fe48863945f2b9bf8
2984,38,2972,57268,60032,video002984_GT38.jpg,2a6c0c957cf06ea9786ac97f3a145b5e96c3bb246867db96c50a823f7a92c28f,71d87f548c7654800fb83eefc1c119cc35d2ec2126b72972183cf2ff16d77d21,43fea5609c5bc5276e2cd1ee7ce2b4fde30cb3292fbcca4b665cdff347d78a63
3283,75,3271,35303,320,video003283_GT75.jpg,226e632d57a154970e771cf2d46eba040f9e7e295142813174b785b1a86d99b8,5277262e0675f8a46b867e5a329f83e9aab2030efa9b28859fa392729d3fb763,6651da40a6cc9298e3785c37122101782e702f84045f42f51f31ad38f62c76dd
3288,75,3276,0,0,video003288_GT75.jpg,b9d866a679fcb2e73c5fbf4dd2e8c20f238ad8b1e87925ab448bed21b2cd632b,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,25ea6f2837fa6815751c6d8dfd1b2f44ab089a6bd67ee86b183584e9a9e263d4
3298,75,3286,0,0,video003298_GT75.jpg,036fbf6302b208b46e9b6ef8c12ec6977317f7f4578688266f7f6f8172d5c018,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,545b6582bc20c61ab497625853448b6f394747496086ee71e0f3d24f086cfc48
3308,75,3296,0,0,video003308_GT75.jpg,66bec5db691be3820733709b5836b041e16cd2f6b8d1a38cee08672a364d67c9,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,f44b8177cb75f8fc28fc5b50631f62697f9cf1be54553c903bc7677445cfc865
3313,75,3301,44201,43476,video003313_GT75.jpg,9e8f90ab91d702562789d5435a53b7c2556a25738bb8120e49c41e20a23d122a,d8a2fae2dff0b4ef3523f654ad99e6a8a2b016d4e58630ddd84535361d448809,c042c9e5fe3df58154677ddc2aac7db126714154a6acee9e264fb483ea29c4c5
3324,75,3312,24326,26084,video003324_GT75.jpg,d8edd5b88f147417650985e069a4a165c6ffe7ad2d469315e6717684cebcf96a,ede89ed03798751e6b0ea8dd1f0d9ba70d324d59385295b2d0ad901ac89f1bab,3696e7b7780c9068bf6f670ada6ff1fc06993455d2a41649790313e570a44da6
915,75,903,53194,46388,video000915_GT75.jpg,fed739700749c73d4f185e722e82e3b267b74a1b69b4859b5db3ede015c6ebf1,d1b26d8808989f157d12da9b4f604f39be6c927a4b0cd3a89471145a01da1e7c,8c204720fcc2df91c672aa0b36e4cdbc52727a4bd9faae95315581236e1cea15
920,75,908,0,63724,video000920_GT75.jpg,dfa2e8e31207a6f5a908c44f38fbd599dff8652a10cebc2838cf42a3917bd510,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,7e13c04f5c5eb44bcd1ed783690807c2734bfd0dc92d6baf1c61c8552c77a87b
929,75,917,0,0,video000929_GT75.jpg,e5543ab3b1a96cf1e7861cb63ffe1073b86e0ebb0e8f36596e1a8624432b520b,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,7731b8603e721d1d63d50a8956a3da5285a1f65cba9d58d4dd86e2da96ac52e7
938,75,926,0,0,video000938_GT75.jpg,6d33c2915d5fac107b3dc4b74189039d680621e183a6c429b09eceee977f6328,01f361f8d8efc995078c09c4cd0d8424417c34b5168e38efbfa229c970373ed5,6cf0e742e6130ccc19149ec91911e97cbcbbd268e605647fbcad3d5ea85238e1
943,75,931,38470,26740,video000943_GT75.jpg,8f4ca3389f1c94015eefb12769b8368c8e0d9d836884f526e946d4ecf320ccfe,972b95e203899c2e32edac97756784ba2372d43cc7327a7f5a8ac42ef9b5038b,3ed3efa7c4af977b145f50fbd7d32867d40559c4c4d6f950483e893b36bfa205
1124,75,1112,9665,8052,video001124_GT75.jpg,d4756cb861c5da2f59a71971a2c0b96a713fd451d7163a1931beaa9168d18172,e67fefa6ef7442e7ea3dfd411648c3eda9e25fefcecf297911752d1b0a74e5cf,3a4274846568e9746cb26534cc61b674a78ce46f7804d4126177119b32062e1c
