video_frame,gt_frame,gt_id,reason,detail
1819,1807,113,small_disconnected_regions,
1820,1808,113,small_disconnected_regions,
1821,1809,113,small_disconnected_regions,
1823,1811,113,small_disconnected_regions,
1826,1814,75,small_disconnected_regions,
1827,1815,113,small_disconnected_regions,
1828,1816,113,small_disconnected_regions,
1830,1818,75,small_disconnected_regions,
1831,1819,75,small_disconnected_regions,
1834,1822,14,small_disconnected_regions,
1840,1828,14,small_disconnected_regions,
1845,1833,75,small_disconnected_regions,
1852,1840,113,small_disconnected_regions,
1884,1872,38,small_disconnected_regions,
1886,1874,14,small_disconnected_regions,
1890,1878,38,small_disconnected_regions,
1891,1879,38,small_disconnected_regions,
1895,1883,38,small_disconnected_regions,
1941,1929,38,small_disconnected_regions,
1953,1941,75,small_disconnected_regions,
1954,1942,75,small_disconnected_regions,
1956,1944,38,small_disconnected_regions,
1956,1944,75,multiple_substantial_regions,
1956,1944,75,centroid_jump,
1957,1945,75,centroid_jump,
1959,1947,38,small_disconnected_regions,
1962,1950,38,small_disconnected_regions,
1962,1950,75,small_disconnected_regions,
1966,1954,14,small_disconnected_regions,
1966,1954,38,small_disconnected_regions,
1966,1954,75,multiple_substantial_regions,
1966,1954,75,centroid_jump,
1967,1955,38,small_disconnected_regions,
1967,1955,75,centroid_jump,
1971,1959,38,small_disconnected_regions,
1972,1960,38,small_disconnected_regions,
1973,1961,38,small_disconnected_regions,
1974,1962,38,small_disconnected_regions,
1975,1963,38,small_disconnected_regions,
1976,1964,38,small_disconnected_regions,
1979,1967,38,small_disconnected_regions,
1981,1969,38,small_disconnected_regions,
1982,1970,38,small_disconnected_regions,
1984,1972,38,small_disconnected_regions,
1985,1973,38,small_disconnected_regions,
1991,1979,38,small_disconnected_regions,
1993,1981,113,small_disconnected_regions,
1996,1984,14,small_disconnected_regions,
2001,1989,14,small_disconnected_regions,
2007,1995,38,small_disconnected_regions,
2018,2006,113,small_disconnected_regions,
2030,2018,75,centroid_jump,
2030,2018,75,area_change,
2030,2018,113,centroid_jump,
2031,2019,113,small_disconnected_regions,
2032,2020,113,small_disconnected_regions,
2033,2021,113,small_disconnected_regions,
2034,2022,38,small_disconnected_regions,
2034,2022,113,small_disconnected_regions,
2036,2024,113,small_disconnected_regions,
2039,2027,113,small_disconnected_regions,
2040,2028,113,small_disconnected_regions,
2057,2045,75,small_disconnected_regions,
2065,2053,38,small_disconnected_regions,
2071,2059,38,small_disconnected_regions,
2084,2072,38,small_disconnected_regions,
2118,2106,38,multiple_substantial_regions,
2119,2107,38,area_change,
2120,2108,38,small_disconnected_regions,
2121,2109,38,small_disconnected_regions,
2122,2110,38,small_disconnected_regions,
2126,2114,113,small_disconnected_regions,
2127,2115,113,small_disconnected_regions,
2128,2116,113,small_disconnected_regions,
2129,2117,113,small_disconnected_regions,
2133,2121,75,small_disconnected_regions,
2133,2121,113,small_disconnected_regions,
2141,2129,75,small_disconnected_regions,
2142,2130,75,small_disconnected_regions,
2144,2132,75,small_disconnected_regions,
2145,2133,75,small_disconnected_regions,
2145,2133,113,small_disconnected_regions,
2161,2149,75,small_disconnected_regions,
2161,2149,113,small_disconnected_regions,
2166,2154,38,small_disconnected_regions,
2168,2156,113,small_disconnected_regions,
2170,2158,14,small_disconnected_regions,
2171,2159,14,small_disconnected_regions,
2173,2161,14,small_disconnected_regions,
2174,2162,113,area_change,
2178,2166,14,area_change,
2179,2167,14,small_disconnected_regions,
2182,2170,113,small_disconnected_regions,
2185,2173,75,small_disconnected_regions,
2206,2194,14,small_disconnected_regions,
2207,2195,14,small_disconnected_regions,
2217,2205,75,small_disconnected_regions,
2226,2214,75,small_disconnected_regions,
2228,2216,75,small_disconnected_regions,
2229,2217,75,small_disconnected_regions,
2236,2224,75,small_disconnected_regions,
2244,2232,38,small_disconnected_regions,
2251,2239,75,small_disconnected_regions,
2252,2240,113,multiple_substantial_regions,
