abs_frame,sam2_label,gt_id,block_id,direction,foreground_logit_score
572,1,14,0,later,0.9864201545715332
572,2,38,0,later,
572,3,75,0,later,0.9859973192214966
572,4,113,0,later,0.9859991669654846
573,1,14,0,later,0.9867734909057617
573,2,38,0,later,
573,3,75,0,later,0.985254168510437
573,4,113,0,later,0.9880662560462952
574,1,14,0,later,0.9846564531326294
574,2,38,0,later,
574,3,75,0,later,0.986905038356781
574,4,113,0,later,0.9868475198745728
575,1,14,0,later,0.9791693687438965
575,2,38,0,later,
575,3,75,0,later,0.985664963722229
575,4,113,0,later,0.9878301620483398
576,1,14,0,later,0.9778132438659668
576,2,38,0,later,
576,3,75,0,later,0.9879817366600037
576,4,113,0,later,0.988070011138916
577,1,14,0,later,0.9802591800689697
577,2,38,0,later,
577,3,75,0,later,0.9876024723052979
577,4,113,0,later,0.9877849817276001
578,1,14,0,later,0.97974693775177
578,2,38,0,later,
578,3,75,0,later,0.9850030541419983
