event_id,gt_id,reason,start,end,length,decision,notes
GT00302,24,unexpected_label,1537,1583,47,unreviewed,
GT00303,39,unexpected_label,558,602,45,unreviewed,
GT00304,88,unexpected_label,558,602,45,unreviewed,
GT00305,107,unexpected_label,558,601,44,unreviewed,
GT00306,20,unexpected_label,558,601,44,unreviewed,
GT00307,57,unexpected_label,558,601,44,unreviewed,
GT00308,94,unexpected_label,558,601,44,unreviewed,
GT00309,18,unexpected_label,773,816,44,unreviewed,
GT00310,25,unexpected_label,773,816,44,unreviewed,
GT00311,41,unexpected_label,773,816,44,unreviewed,
GT00312,48,unexpected_label,773,816,44,unreviewed,
GT00313,60,unexpected_label,773,816,44,unreviewed,
GT00314,71,unexpected_label,773,816,44,unreviewed,
GT00315,107,unexpected_label,438,479,42,unreviewed,
GT00316,20,unexpected_label,438,479,42,unreviewed,
GT00317,39,unexpected_label,438,479,42,unreviewed,
GT00318,57,unexpected_label,438,479,42,unreviewed,
GT00319,88,unexpected_label,438,479,42,unreviewed,
GT00320,94,unexpected_label,438,479,42,unreviewed,
GT00321,2,unexpected_label,3299,3337,39,unreviewed,
GT00322,17,unexpected_label,3299,3336,38,unreviewed,
GT00323,29,unexpected_label,3299,3336,38,unreviewed,
GT00324,31,unexpected_label,3299,3336,38,unreviewed,
GT00325,36,unexpected_label,3299,3336,38,unreviewed,
GT00326,9,unexpected_label,3299,3336,38,unreviewed,
GT00327,57,unexpected_label,781,815,35,unreviewed,
GT00328,111,unexpected_label,800,832,33,unreviewed,
GT00329,77,unexpected_label,800,832,33,unreviewed,
GT00330,82,unexpected_label,800,832,33,unreviewed,
GT00331,96,unexpected_label,800,832,33,unreviewed,
GT00332,104,unexpected_label,801,831,31,unreviewed,
GT00333,18,unexpected_label,1052,1082,31,unreviewed,
GT00334,25,unexpected_label,1052,1082,31,unreviewed,
GT00335,41,unexpected_label,1052,1082,31,unreviewed,
GT00336,48,unexpected_label,1052,1082,31,unreviewed,
GT00337,71,unexpected_label,1052,1082,31,unreviewed,
GT00338,39,unexpected_label,615,644,30,unreviewed,
GT00339,88,unexpected_label,615,644,30,unreviewed,
GT00340,60,unexpected_label,1052,1081,30,unreviewed,
GT00341,18,unexpected_label,1232,1261,30,unreviewed,
GT00342,25,unexpected_label,1232,1261,30,unreviewed,
GT00343,60,unexpected_label,1232,1261,30,unreviewed,
GT00344,20,unexpected_label,618,646,29,unreviewed,
GT00345,48,unexpected_label,1232,1260,29,unreviewed,
GT00346,107,unexpected_label,618,645,28,unreviewed,
GT00347,57,unexpected_label,618,645,28,unreviewed,
GT00348,94,unexpected_label,618,645,28,unreviewed,
GT00349,41,unexpected_label,1233,1260,28,unreviewed,
GT00350,71,unexpected_label,1233,1260,28,unreviewed,
GT00351,18,unexpected_label,1428,1454,27,unreviewed,
GT00352,25,unexpected_label,1428,1454,27,unreviewed,
GT00353,41,unexpected_label,1428,1454,27,unreviewed,
GT00354,48,unexpected_label,1428,1454,27,unreviewed,
GT00355,60,unexpected_label,1428,1454,27,unreviewed,
GT00356,71,unexpected_label,1428,1454,27,unreviewed,
GT00357,63,unexpected_label,807,832,26,unreviewed,
GT00358,15,unexpected_label,1057,1082,26,unreviewed,
GT00359,47,unexpected_label,2576,2601,26,unreviewed,
GT00360,26,unexpected_label,1533,1556,24,unreviewed,
GT00361,57,unexpected_label,1533,1556,24,unreviewed,
GT00362,59,unexpected_label,1533,1556,24,unreviewed,
GT00363,57,unexpected_label,2028,2051,24,unreviewed,
GT00364,46,unexpected_label,1561,1583,23,unreviewed,
GT00365,15,unexpected_label,1635,1657,23,unreviewed,
GT00366,107,unexpected_label,2030,2051,22,unreviewed,
GT00367,20,unexpected_label,2030,2051,22,unreviewed,
GT00368,39,unexpected_label,2030,2051,22,unreviewed,
GT00369,88,unexpected_label,2030,2051,22,unreviewed,
GT00370,94,unexpected_label,2030,2051,22,unreviewed,
GT00371,15,unexpected_label,1968,1988,21,unreviewed,
